session,file,sha256,n_rows,n_strikes,first_ts,last_ts,n_settlement_bars,oi_lot,oi_units,source,fetched_on
2023-10-19,2023-10-19_chain.parquet,7a3e23b011d6ea358823e1e362e52eef4ddae5926e2c586e2ed39fb4e495141f,33724,47,2023-10-19 09:15:00+05:30,2023-10-19 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-10-26,2023-10-26_chain.parquet,7f7300d38866ce86c1ef698a7e92cad7f2e5f14eaed02704bf5465e80372f881,33526,46,2023-10-26 09:15:00+05:30,2023-10-26 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-11-02,2023-11-02_chain.parquet,1949f4e3e599cfbcce9d3dfe55d3883db972db9c88aa74431b8755995499800f,33319,46,2023-11-02 09:15:00+05:30,2023-11-02 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-11-09,2023-11-09_chain.parquet,0314b44226a2b7ea6a18af513e336acbbbaf1543fc2e94a653a5f15944addd14,32033,47,2023-11-09 09:15:00+05:30,2023-11-09 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-11-16,2023-11-16_chain.parquet,8899fcfe96fc34a43209cbb3d0e6d4836e0e7104c011409fb72d73a683bcc8ba,31517,47,2023-11-16 09:15:00+05:30,2023-11-16 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-11-23,2023-11-23_chain.parquet,d5a88ede648a9a6e9f307327f9c104302503cdb7cdc26c257e3bb46c320709ff,34544,47,2023-11-23 09:15:00+05:30,2023-11-23 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-11-30,2023-11-30_chain.parquet,8b5db4c985aff8244c88814ba91a228ccf6e75ef732e70840b172fc0015b8385,33835,48,2023-11-30 09:15:00+05:30,2023-11-30 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-12-07,2023-12-07_chain.parquet,e2d695dc9d2836d5023d8fd212b4726d24b5a42cd425984f09f505e41fb765a1,33968,50,2023-12-07 09:15:00+05:30,2023-12-07 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-12-14,2023-12-14_chain.parquet,8a0f70c515156ec5bce437ba29cbe28ee557fef764115200dd44ca4abfb1f24b,36767,51,2023-12-14 09:15:00+05:30,2023-12-14 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-12-21,2023-12-21_chain.parquet,4397cef9a0c86a66347466299af8274aeb2c0f1d5ef5fedb82f98509651c36f7,37787,51,2023-12-21 09:15:00+05:30,2023-12-21 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2023-12-28,2023-12-28_chain.parquet,099c2dfdd22a078ce21ce8a70dd29c44679b59d05444c337b30bb19c1adcb8d6,36684,52,2023-12-28 09:15:00+05:30,2023-12-28 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-01-04,2024-01-04_chain.parquet,fe0dab59925effc9c04489b26ddd7f8bb25a6b3d2c53ac4ac32a8e37e9a6f996,37828,52,2024-01-04 09:15:00+05:30,2024-01-04 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-01-11,2024-01-11_chain.parquet,566694dd18966aec2baa6d41e98ce5c30ed328425892c6dea643753f2381faf3,36279,53,2024-01-11 09:15:00+05:30,2024-01-11 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-01-18,2024-01-18_chain.parquet,e915812a85a4fe745ac5567b94d754c4bc1871fe1dd17cb5484ea7aa1d19fb81,38083,52,2024-01-18 09:15:00+05:30,2024-01-18 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-01-25,2024-01-25_chain.parquet,180bd0bfbe245dd27a75cdc295933042ef3aeb190727b269c5c9c29f87487f10,36963,51,2024-01-25 09:15:00+05:30,2024-01-25 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-02-01,2024-02-01_chain.parquet,19dbe6f6bfd72c2405e7dcb744a2be8365cef85447572bb77bef7705c3f50813,38247,52,2024-02-01 09:15:00+05:30,2024-02-01 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-02-08,2024-02-08_chain.parquet,dd434f0014a6b3b346eac2b168839abb4060c9576987de86c2c59dec5361554a,36199,53,2024-02-08 09:15:00+05:30,2024-02-08 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-02-15,2024-02-15_chain.parquet,f6c8a271da3036846ecbf9d0f370fc037e3c37fd765d32ff71e61fc9518314bb,36142,53,2024-02-15 09:15:00+05:30,2024-02-15 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
